Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
one.sucks,available,132,44%,3,"Business,General,Media,Technology",,,
brief.sucks,available,124,19%,5,"Business,Education,General,Law",,,
complete.sucks,available,120,21%,8,"Manufacturing,Retail,Technology",,,
wizard.sucks,available,118,42%,6,"Entertainment,Media,Technology",,,
tenth.sucks,available,116,7%,5,Mathematics,,,
flat.sucks,available,116,24%,4,"Construction,Real Estate",,,
equal.sucks,available,116,19%,5,"Education,General,Law",,,
tonic.sucks,available,114,22%,5,"Health and Fitness,Medicine,Science",,,
acute.sucks,available,112,9%,5,"Mathematics,Medicine,Science",,,
above.sucks,available,112,22%,5,Business,,,
hotshot.sucks,available,112,14%,7,"Business,Entertainment,Sports",,,
zero.sucks,available,112,49%,4,Mathematics,,,
abstract.sucks,available,108,29%,8,"Arts,Humanities,Science",,,
abiding.sucks,available,106,5%,7,"General,Religion",,,
expert.sucks,available,104,26%,6,"Business,Education,Technology",,,
teen.sucks,available,104,14%,4,"Education,Entertainment,Healthcare",,,
active.sucks,available,104,27%,6,"Health and Fitness,Sports,Travel",,,
absent.sucks,available,102,8%,6,"Business,Education,Technology",,,
eight.sucks,available,102,23%,5,"General,Mathematics",,,
captive.sucks,available,102,14%,7,"Entertainment,Hospitality,Technology",,,
extra.sucks,available,102,26%,5,"Fashion,Retail,Technology",,,
sixth.sucks,available,100,8%,5,Mathematics,,,
remove.sucks,available,100,13%,6,"Construction,Manufacturing,Technology",,,
eighth.sucks,available,100,6%,6,Mathematics,,,
adjunct.sucks,available,100,5%,7,Education,,,
ninth.sucks,available,100,9%,5,Mathematics,,,
third.sucks,available,100,16%,5,Mathematics,,,
abrupt.sucks,available,100,3%,6,"Medicine,Science",,,
whiz.sucks,available,100,12%,4,"Business,Education,Technology",,,
crack.sucks,available,100,20%,5,Sports,,,
whizz.sucks,available,98,11%,5,"Business,Education,Technology",,,
genius.sucks,available,98,46%,6,"Arts,Education,Technology",,,
alamode.sucks,available,96,12%,9,Fashion,,,
doable.sucks,available,96,9%,6,"Business,Education,Technology",,,
forgiving.sucks,available,96,3%,9,"Healthcare,Religion",,,
academic.sucks,available,96,20%,8,"Education,Humanities,Science",,,
actual.sucks,available,96,22%,6,"Real Estate,Retail,Technology",,,
adequate.sucks,available,94,9%,8,"Education,Healthcare,Technology",,,
around.sucks,available,94,22%,6,"Business,General,Media,Technology",,,
virtuoso.sucks,available,94,16%,8,"Arts,Entertainment",,,
abject.sucks,available,94,7%,6,Humanities,,,
exemplary.sucks,available,92,5%,9,"Business,Education,Healthcare",,,
adept.sucks,available,92,24%,5,"Education,Health and Fitness,Sports",,,
nought.sucks,available,92,4%,6,Mathematics,,,
derelict.sucks,available,92,7%,8,"Construction,Real Estate",,,
neutral.sucks,available,92,20%,7,"Business,Media,Politics",,,
next.sucks,available,92,43%,4,"Retail,Technology,Transportation",,,
twentieth.sucks,available,92,3%,9,Mathematics,,,
adjective.sucks,available,92,5%,9,Education,,,
abroad.sucks,available,92,12%,6,"Hospitality,Travel",,,
riveting.sucks,available,90,6%,8,"Entertainment,Media,Technology",,,
leash.sucks,available,90,7%,5,"General,Health and Fitness,Retail",,,
abortive.sucks,available,90,1%,8,"Medicine,Science",,,
